Gemeindename,jahr,wert
Arnex-sur-Orbe,1990,0.5223120371500651
Arni (AG),1990,0.44520500728062223
Arni (BE),1990,0.23424754423253677
Arogno,1990,0.2360685572904699
Arosa,1990,0.10972191430732069
Arth,1990,0.286466615000788
Arzier-Le Muids,1990,0.15051440297481386
Ascona,1990,0.5354301929473877
Assens,1990,0.5535131342270795
Astano,1990,0.19306683540344238
Attalens,1990,0.2983052034555755
Attinghausen,1990,0.06547956429079234
Attiswil,1990,0.3661934383331783
Au (SG),1990,0.7299143640618575
Aubonne,1990,0.44418067436713676
Auboranges,1990,0.37336183363391506
Auenstein,1990,0.3964200701032366
Augst,1990,0.7555885314941406
Ausserberg,1990,0.18899257549111773
Auswil,1990,0.3329426692082332
Autigny,1990,0.31707679748535156
Auw,1990,0.4183840486738417
Avegno Gordevio,1990,0.14262141577258908
Avenches,1990,0.5181548880331172
Avers,1990,0.025764376440949827
Avry,1990,0.4938251536379578
Avully,1990,0.5663884106804343
Avusy,1990,0.5405610402425131
Ayent,1990,0.15494723773110505
Baar,1990,0.5067843967013889
Bachenbülach,1990,0.5255493378975022
Bachs,1990,0.3422081406052048
Bad Ragaz,1990,0.28234379512624336
Bad Zurzach,1990,0.5093703176461014
Baden,1990,0.5699600504937573
Baldingen,1990,0.3921255773427535
Balerna,1990,0.8840669485238882
Balgach,1990,0.43877630835180886
Ballaigues,1990,0.25810832447475857
Ballens,1990,0.43054395733457623
Ballwil,1990,0.4125589083318841
Balm bei Günsberg,1990,0.21003587510850694
Balsthal,1990,0.3199676153228039
Baltschieder,1990,0.05804823689251782
Bannwil,1990,0.4443339771694607
Bardonnex,1990,0.7202211705649771
Bargen (BE),1990,0.5223965454101562
Bargen (SH),1990,0.28141509785371666
Bas-Intyamon,1990,0.11493654708580778
Basadingen-Schlattingen,1990,0.4412864624984621
Basel,1990,0.8536942212751484
Basse-Allaine,1990,0.3886114874316147
Bassersdorf,1990,0.6113225949690646
Bassins,1990,0.15916432591969382
Baulmes,1990,0.23233318328857422
Bauma,1990,0.2680347537206224
Bavois,1990,0.5392157860051573
Beatenberg,1990,0.14979620967808535
Beckenried,1990,0.1691477419149996
Bedano,1990,0.5155606446442781
Bedigliora,1990,0.3303179392000524
Bedretto,1990,0.04485854031525792
Beggingen,1990,0.3342494690817509
Begnins,1990,0.48199240769012064
Beinwil (Freiamt),1990,0.3505913572884648
Beinwil (SO),1990,0.16031291173852008
Beinwil am See,1990,0.5387118506053138
Belfaux,1990,0.45559988216478
Bellach,1990,0.6044272922334217
Bellevue,1990,0.7204617782377861
Bellikon,1990,0.4658250075120192
Bellinzona,1990,0.22105298268500947
Bellmund,1990,0.4286683400472005
Bellwald,1990,0.13170811971028645
Belmont-Broye,1990,0.48690136254824823
Belmont-sur-Lausanne,1990,0.5071840286254883
Belmont-sur-Yverdon,1990,0.5434841262959988
Belp,1990,0.44834952241198056
Belprahon,1990,0.22385081306832735
Benken (SG),1990,0.32957369393675867
Benken (ZH),1990,0.4539615086146763
Bennwil,1990,0.24511438149672288
Bercher,1990,0.49172112601143975
Berg (SG),1990,0.40791046619415283
Berg (TG),1990,0.44400291799384856
Berg am Irchel,1990,0.3649975291469641
Bergdietikon,1990,0.45579739006198183
Bergün Filisur,1990,0.04865541377467774
Berikon,1990,0.5072195265028212
Beringen,1990,0.3470190391179515
Berken,1990,0.4139408331650954
Berlingen,1990,0.3224955166087431
Bern,1990,0.6507848011363636
Berneck,1990,0.423816890506954
Bernex,1990,0.6397559040724629
Berolle,1990,0.20104445909198962
Beromünster,1990,0.35537575031148977
Besenbüren,1990,0.47978811264038085
Bettenhausen,1990,0.4879460768266158
