Gemeindename,Einwohner  (2019),Veränderung in %  (2010-2019),Bevölkerungs-dichte pro km²  (2019),Ausländer in %  (2019),0-19 Jahre  (2019),20-64 Jahre  (2019),65 Jahre und mehr  (2019),Rohe Heiratssziffer  (2019),Rohe Scheidungsziffer  (2019),Rohe Geburtenziffer  (2019),Rohe Sterbeziffer  (2019),Anzahl Privathaushalte  (2019),Durchschnittliche Haushaltsgrösse in Personen  (2019),Leerwohnungs-ziffer  (2020),Neu gebaute Wohnungen pro 1000 Einwohner  (2018),FDP  (2019),CVP  (2019),SP  (2019),SVP  (2019),EVP/CSP  (2019),GLP  (2019),BDP  (2019),PdA/Sol.  (2019),GPS  (2019),Kleine Rechtsparteien  (2019),Berggebiet,GHM_Mean_2020
Lyssach,1437.0,-0.8281573499,237.520661157,9.3945720251,18.6499652053,60.40361865,20.9464161447,6.243496358,4.8560527229,11.0995490808,8.3246618106,654.0,2.1727828746,1.5691868759,0.0,5.6614440317,1.4537231465,12.5343240187,46.5272169278,3.1901146826,6.9374899047,10.9190760782,0.4522694234,8.0277822646,0.9529962849,0,0.6797027587890625
Läufelfingen,1288.0,1.5772870662,157.8431372549,12.1118012422,19.6428571429,58.7732919255,21.5838509317,3.1019775107,0.0,4.652966266,3.1019775107,528.0,2.3920454545,0.4862236629,0.0,9.9358974359,4.1666666667,22.3717948718,35.2564102564,2.3076923077,3.4615384615,0.641025641,0.0,21.3141025641,0.0,1,0.362872568766276
Löhningen,1474.0,11.6666666667,215.8125915081,12.4830393487,23.473541384,57.5305291723,18.9959294437,2.0366598778,0.6788866259,6.1099796334,6.7888662593,604.0,2.4139072848,5.7352941176,2.7472527473,15.2479644708,1.0362694301,18.8749074759,44.9296817172,3.8490007402,5.9215396003,0.0,0.0,4.8112509252,3.3308660252,0,0.488051449811017
Lüscherz,551.0,3.7664783427,101.6605166052,11.6152450091,14.7005444646,62.9764065336,22.3230490018,0.0,0.0,5.400540054,7.200720072,279.0,1.9605734767,0.7518796992,7.3394495413,8.7936046512,0.484496124,13.6627906977,51.4050387597,1.4777131783,6.0804263566,6.007751938,0.0726744186,7.7034883721,0.7994186047,0,0.3955266692421653
Lüsslingen-Nennigkofen,1084.0,8.9447236181,138.7964148528,11.5313653137,21.4022140221,58.9483394834,19.6494464945,4.6146746654,2.7688047993,8.3064143978,9.2293493309,466.0,2.2982832618,0.3824091778,5.6764427625,18.8566159521,4.2415859843,22.0378054403,20.0553250346,0.8298755187,7.6071922545,2.2591055786,0.0,21.9917012448,1.0603964961,0,0.5772065535835598
Lüterkofen-Ichertswil,829.0,13.5616438356,187.1331828442,7.599517491,20.8685162847,56.3329312425,22.7985524729,2.4600246002,3.6900369004,9.840098401,9.840098401,363.0,2.258953168,1.4634146341,17.8117048346,29.0379008746,6.5306122449,19.0670553936,23.0903790087,1.2244897959,8.5131195335,2.6239067055,0.0,9.3294460641,0.4664723032,0,0.5342677913299979
Lüterswil-Gächliwil,320.0,-5.325443787,104.5751633987,3.4375,16.5625,59.6875,23.75,3.1152647975,0.0,6.230529595,9.3457943925,143.0,2.2237762238,2.2471910112,0.0,22.5653206651,5.2256532067,14.9643705463,34.9168646081,1.3064133017,6.5320665083,5.106888361,0.0,8.3135391924,0.3562945368,0,0.4626677644019033
Lütisburg,1606.0,15.2080344333,113.9007092199,14.5703611457,24.097135741,61.7683686177,14.1344956413,5.6568196103,1.2570710245,12.5707102451,5.6568196103,604.0,2.6374172185,3.1944444444,3.1948881789,15.497029067,20.6841175526,7.2908302553,37.6264653926,0.8993094588,3.4366468604,0.5460093143,0.0,8.7200899309,3.4527059579,0,0.3629763361722103
Lütschental,226.0,-4.2372881356,18.4039087948,11.0619469027,16.814159292,66.3716814159,16.814159292,4.5248868778,0.0,9.0497737557,18.0995475113,111.0,2.027027027,3.1914893617,0.0,0.4681100059,0.0,2.1064950263,81.041544763,0.9947337624,4.4470450556,4.6811000585,0.0,0.5266237566,4.8566413107,1,0.1108503244361099
Lützelflüh,4197.0,3.3743842365,156.1965016747,6.8858708601,20.1334286395,59.0898260662,20.7767452943,5.9923298178,1.4381591563,10.067114094,6.9511025887,1837.0,2.2487751769,1.6306954436,0.2400960384,5.011738018,0.7939648123,8.3775157606,43.7471973833,4.6055234628,5.5129118198,12.5530848566,0.3218063359,7.2749333966,7.4331988077,0,0.3746709117182978
Madiswil,3275.0,5.3393374075,141.346568839,4.9465648855,20.1526717557,58.1679389313,21.679389313,4.2722001831,2.4412572475,8.5444003662,9.459871834,1418.0,2.2651622003,1.4475271411,0.6099420555,6.1804697157,0.8151538436,9.3508836401,41.2220626065,4.7238833395,6.5446163098,11.024621655,0.3474426219,11.0947783383,5.5958306885,0,0.3959203634538877
Madulain,207.0,6.7010309278,12.714987715,26.0869565217,19.3236714976,57.4879227053,23.1884057971,14.3884892086,4.7961630695,9.5923261391,4.7961630695,92.0,2.25,2.0881670534,0.0,14.6875,7.1875,20.3125,31.875,0.0,3.75,13.125,0.0,9.0625,0.0,1,0.0903533311851124
Magden,3885.0,7.320441989,352.5408348457,15.3667953668,21.4414414414,58.5070785071,20.0514800515,2.8208744711,1.2822156687,8.9755096807,6.4110783434,1611.0,2.399751707,0.9296920395,0.7643312102,14.4941634241,9.5228343232,19.9979520786,25.4505426992,1.832889617,10.9614990784,2.6571779644,0.0,9.4921155028,1.1519557649,0,0.4297890584976946
Maggia,2609.0,6.6203514508,23.4727845254,10.3871215025,18.896128785,57.6466078957,23.4572633193,2.6917900404,2.307248606,12.3053258989,7.3062872525,1174.0,2.2052810903,0.7748934522,2.3201856148,23.9324588334,22.1322913759,10.9405526095,9.4892548144,0.0,0.9489254814,0.0,0.7814680435,13.6896455484,14.7641641083,1,0.0966960936951985
Magliaso,1627.0,12.0523415978,1479.0909090909,22.3724646589,16.8408113092,55.6238475722,27.5353411186,3.6957191253,1.8478595627,5.543578688,9.2392978134,738.0,2.1571815718,2.5879917184,23.0242688239,19.944388271,14.6865520728,13.1698685541,14.6107178969,0.0,1.6177957533,0.0,0.9605662285,9.9089989889,22.5227502528,1,0.7626017888387044
Maienfeld,3006.0,17.6977290525,92.9786575936,10.379241517,18.4298070526,62.3419827013,19.2282102462,8.4019492522,2.0164678205,12.0988069232,7.393715342,1343.0,2.2107222636,1.4211886305,2.0979020979,20.6647116325,8.4848484848,12.0039100684,32.0234604106,0.0,11.6715542522,9.2277614858,0.0,5.9237536657,0.0,1,0.2508414961086027
Maisprach,930.0,-1.8987341772,183.0708661417,14.9462365591,16.6666666667,66.1290322581,17.2043010753,4.3196544276,0.0,11.879049676,11.879049676,402.0,2.2810945274,0.4338394794,6.3897763578,10.5008787346,5.0087873462,15.992970123,35.4130052724,2.460456942,6.6783831283,1.0105448155,0.0,22.934973638,0.0,0,0.3840626436121323
Malans,2419.0,9.3086308179,212.1929824561,8.3505580819,19.8429102935,61.3063249277,18.8507647788,4.1684035015,2.5010421009,6.6694456023,5.835764902,1027.0,2.3398247322,1.8151815182,20.5040580948,20.7747240857,6.535381952,23.3499242588,23.5663276347,0.0,11.3178965592,6.9465483662,0.0,7.5091971435,0.0,1,0.3037283524222996
Malters,7432.0,11.5580906635,260.1330066503,13.1996770721,21.1114101184,63.6167922497,15.2717976319,5.6949152542,1.0847457627,12.2033898305,7.4576271186,3113.0,2.3636363636,0.7920211206,18.254736551,17.7049622438,23.2919813017,10.7650125854,27.4676375405,1.2360661633,9.0704782452,0.0,0.0,9.8345918734,0.094390507,0,0.4254829832412654
Mammern,659.0,12.265758092,121.1397058824,27.3141122914,20.6373292868,59.7875569044,19.5751138088,4.569687738,0.0,6.092916984,7.61614623,286.0,2.2762237762,1.7369727047,3.0769230769,17.7609427609,14.6464646465,10.8585858586,37.8787878788,0.2525252525,7.2390572391,2.5252525253,0.0,8.5016835017,0.3367003367,0,0.3975706224317674
Mandach,334.0,10.2310231023,60.2888086643,6.2874251497,24.251497006,55.9880239521,19.7604790419,0.0,2.962962963,8.8888888889,5.9259259259,143.0,2.3286713287,3.821656051,0.0,12.7338877339,5.9251559252,3.5343035343,58.8877338877,0.8835758836,3.4303534304,4.5218295218,0.0,7.6403326403,0.2079002079,0,0.4359060785044794
